,filename,class_name,class_number,fold,path
110,0111.png,airplane,0,7,../data/cifar10/train/airplane/0111.png
111,0112.png,airplane,0,5,../data/cifar10/train/airplane/0112.png
112,0113.png,airplane,0,2,../data/cifar10/train/airplane/0113.png
113,0114.png,airplane,0,4,../data/cifar10/train/airplane/0114.png
114,0115.png,airplane,0,9,../data/cifar10/train/airplane/0115.png
115,0116.png,airplane,0,5,../data/cifar10/train/airplane/0116.png
116,0117.png,airplane,0,3,../data/cifar10/train/airplane/0117.png
117,0118.png,airplane,0,8,../data/cifar10/train/airplane/0118.png
118,0119.png,airplane,0,2,../data/cifar10/train/airplane/0119.png
119,0120.png,airplane,0,7,../data/cifar10/train/airplane/0120.png
120,0121.png,airplane,0,7,../data/cifar10/train/airplane/0121.png
121,0122.png,airplane,0,8,../data/cifar10/train/airplane/0122.png
122,0123.png,airplane,0,7,../data/cifar10/train/airplane/0123.png
123,0124.png,airplane,0,7,../data/cifar10/train/airplane/0124.png
124,0125.png,airplane,0,3,../data/cifar10/train/airplane/0125.png
125,0126.png,airplane,0,3,../data/cifar10/train/airplane/0126.png
126,0127.png,airplane,0,5,../data/cifar10/train/airplane/0127.png
127,0128.png,airplane,0,0,../data/cifar10/train/airplane/0128.png
128,0129.png,airplane,0,1,../data/cifar10/train/airplane/0129.png
129,0130.png,airplane,0,2,../data/cifar10/train/airplane/0130.png
130,0131.png,airplane,0,5,../data/cifar10/train/airplane/0131.png
131,0132.png,airplane,0,9,../data/cifar10/train/airplane/0132.png
132,0133.png,airplane,0,7,../data/cifar10/train/airplane/0133.png
133,0134.png,airplane,0,3,../data/cifar10/train/airplane/0134.png
134,0135.png,airplane,0,5,../data/cifar10/train/airplane/0135.png
135,0136.png,airplane,0,3,../data/cifar10/train/airplane/0136.png
136,0137.png,airplane,0,7,../data/cifar10/train/airplane/0137.png
137,0138.png,airplane,0,6,../data/cifar10/train/airplane/0138.png
138,0139.png,airplane,0,7,../data/cifar10/train/airplane/0139.png
139,0140.png,airplane,0,4,../data/cifar10/train/airplane/0140.png
140,0141.png,airplane,0,3,../data/cifar10/train/airplane/0141.png
141,0142.png,airplane,0,2,../data/cifar10/train/airplane/0142.png
142,0143.png,airplane,0,6,../data/cifar10/train/airplane/0143.png
143,0144.png,airplane,0,1,../data/cifar10/train/airplane/0144.png
144,0145.png,airplane,0,1,../data/cifar10/train/airplane/0145.png
145,0146.png,airplane,0,4,../data/cifar10/train/airplane/0146.png
146,0147.png,airplane,0,0,../data/cifar10/train/airplane/0147.png
147,0148.png,airplane,0,2,../data/cifar10/train/airplane/0148.png
148,0149.png,airplane,0,2,../data/cifar10/train/airplane/0149.png
149,0150.png,airplane,0,5,../data/cifar10/train/airplane/0150.png
150,0151.png,airplane,0,3,../data/cifar10/train/airplane/0151.png
151,0152.png,airplane,0,0,../data/cifar10/train/airplane/0152.png
152,0153.png,airplane,0,7,../data/cifar10/train/airplane/0153.png
153,0154.png,airplane,0,8,../data/cifar10/train/airplane/0154.png
154,0155.png,airplane,0,0,../data/cifar10/train/airplane/0155.png
155,0156.png,airplane,0,0,../data/cifar10/train/airplane/0156.png
156,0157.png,airplane,0,2,../data/cifar10/train/airplane/0157.png
157,0158.png,airplane,0,7,../data/cifar10/train/airplane/0158.png
158,0159.png,airplane,0,7,../data/cifar10/train/airplane/0159.png
159,0160.png,airplane,0,5,../data/cifar10/train/airplane/0160.png
160,0161.png,airplane,0,6,../data/cifar10/train/airplane/0161.png
161,0162.png,airplane,0,8,../data/cifar10/train/airplane/0162.png
162,0163.png,airplane,0,0,../data/cifar10/train/airplane/0163.png
163,0164.png,airplane,0,8,../data/cifar10/train/airplane/0164.png
164,0165.png,airplane,0,6,../data/cifar10/train/airplane/0165.png
165,0166.png,airplane,0,8,../data/cifar10/train/airplane/0166.png
166,0167.png,airplane,0,0,../data/cifar10/train/airplane/0167.png
167,0168.png,airplane,0,4,../data/cifar10/train/airplane/0168.png
168,0169.png,airplane,0,0,../data/cifar10/train/airplane/0169.png
169,0170.png,airplane,0,5,../data/cifar10/train/airplane/0170.png
170,0171.png,airplane,0,1,../data/cifar10/train/airplane/0171.png
171,0172.png,airplane,0,5,../data/cifar10/train/airplane/0172.png
172,0173.png,airplane,0,3,../data/cifar10/train/airplane/0173.png
173,0174.png,airplane,0,7,../data/cifar10/train/airplane/0174.png
174,0175.png,airplane,0,1,../data/cifar10/train/airplane/0175.png
175,0176.png,airplane,0,0,../data/cifar10/train/airplane/0176.png
176,0177.png,airplane,0,6,../data/cifar10/train/airplane/0177.png
177,0178.png,airplane,0,1,../data/cifar10/train/airplane/0178.png
178,0179.png,airplane,0,1,../data/cifar10/train/airplane/0179.png
179,0180.png,airplane,0,0,../data/cifar10/train/airplane/0180.png
180,0181.png,airplane,0,7,../data/cifar10/train/airplane/0181.png
181,0182.png,airplane,0,9,../data/cifar10/train/airplane/0182.png
182,0183.png,airplane,0,5,../data/cifar10/train/airplane/0183.png
183,0184.png,airplane,0,4,../data/cifar10/train/airplane/0184.png
184,0185.png,airplane,0,1,../data/cifar10/train/airplane/0185.png
185,0186.png,airplane,0,4,../data/cifar10/train/airplane/0186.png
186,0187.png,airplane,0,9,../data/cifar10/train/airplane/0187.png
187,0188.png,airplane,0,9,../data/cifar10/train/airplane/0188.png
188,0189.png,airplane,0,4,../data/cifar10/train/airplane/0189.png
189,0190.png,airplane,0,2,../data/cifar10/train/airplane/0190.png
190,0191.png,airplane,0,7,../data/cifar10/train/airplane/0191.png
191,0192.png,airplane,0,7,../data/cifar10/train/airplane/0192.png
192,0193.png,airplane,0,3,../data/cifar10/train/airplane/0193.png
193,0194.png,airplane,0,7,../data/cifar10/train/airplane/0194.png
194,0195.png,airplane,0,9,../data/cifar10/train/airplane/0195.png
195,0196.png,airplane,0,3,../data/cifar10/train/airplane/0196.png
196,0197.png,airplane,0,2,../data/cifar10/train/airplane/0197.png
197,0198.png,airplane,0,7,../data/cifar10/train/airplane/0198.png
198,0199.png,airplane,0,1,../data/cifar10/train/airplane/0199.png
199,0200.png,airplane,0,0,../data/cifar10/train/airplane/0200.png
200,0201.png,airplane,0,6,../data/cifar10/train/airplane/0201.png
201,0202.png,airplane,0,8,../data/cifar10/train/airplane/0202.png
202,0203.png,airplane,0,0,../data/cifar10/train/airplane/0203.png
203,0204.png,airplane,0,5,../data/cifar10/train/airplane/0204.png
204,0205.png,airplane,0,6,../data/cifar10/train/airplane/0205.png
205,0206.png,airplane,0,1,../data/cifar10/train/airplane/0206.png
206,0207.png,airplane,0,3,../data/cifar10/train/airplane/0207.png
207,0208.png,airplane,0,9,../data/cifar10/train/airplane/0208.png
208,0209.png,airplane,0,6,../data/cifar10/train/airplane/0209.png
209,0210.png,airplane,0,6,../data/cifar10/train/airplane/0210.png
210,0211.png,airplane,0,5,../data/cifar10/train/airplane/0211.png
211,0212.png,airplane,0,4,../data/cifar10/train/airplane/0212.png
212,0213.png,airplane,0,8,../data/cifar10/train/airplane/0213.png
213,0214.png,airplane,0,0,../data/cifar10/train/airplane/0214.png
214,0215.png,airplane,0,9,../data/cifar10/train/airplane/0215.png
215,0216.png,airplane,0,2,../data/cifar10/train/airplane/0216.png
216,0217.png,airplane,0,1,../data/cifar10/train/airplane/0217.png
217,0218.png,airplane,0,2,../data/cifar10/train/airplane/0218.png
218,0219.png,airplane,0,2,../data/cifar10/train/airplane/0219.png
219,0220.png,airplane,0,2,../data/cifar10/train/airplane/0220.png
220,0221.png,airplane,0,7,../data/cifar10/train/airplane/0221.png
221,0222.png,airplane,0,9,../data/cifar10/train/airplane/0222.png
222,0223.png,airplane,0,6,../data/cifar10/train/airplane/0223.png
223,0224.png,airplane,0,2,../data/cifar10/train/airplane/0224.png
224,0225.png,airplane,0,6,../data/cifar10/train/airplane/0225.png
225,0226.png,airplane,0,2,../data/cifar10/train/airplane/0226.png
226,0227.png,airplane,0,5,../data/cifar10/train/airplane/0227.png
227,0228.png,airplane,0,8,../data/cifar10/train/airplane/0228.png
228,0229.png,airplane,0,6,../data/cifar10/train/airplane/0229.png
229,0230.png,airplane,0,1,../data/cifar10/train/airplane/0230.png
230,0231.png,airplane,0,0,../data/cifar10/train/airplane/0231.png
231,0232.png,airplane,0,2,../data/cifar10/train/airplane/0232.png
232,0233.png,airplane,0,6,../data/cifar10/train/airplane/0233.png
233,0234.png,airplane,0,6,../data/cifar10/train/airplane/0234.png
234,0235.png,airplane,0,0,../data/cifar10/train/airplane/0235.png
235,0236.png,airplane,0,1,../data/cifar10/train/airplane/0236.png
236,0237.png,airplane,0,0,../data/cifar10/train/airplane/0237.png
237,0238.png,airplane,0,1,../data/cifar10/train/airplane/0238.png
238,0239.png,airplane,0,5,../data/cifar10/train/airplane/0239.png
239,0240.png,airplane,0,7,../data/cifar10/train/airplane/0240.png
240,0241.png,airplane,0,7,../data/cifar10/train/airplane/0241.png
241,0242.png,airplane,0,8,../data/cifar10/train/airplane/0242.png
242,0243.png,airplane,0,0,../data/cifar10/train/airplane/0243.png
243,0244.png,airplane,0,8,../data/cifar10/train/airplane/0244.png
244,0245.png,airplane,0,7,../data/cifar10/train/airplane/0245.png
245,0246.png,airplane,0,0,../data/cifar10/train/airplane/0246.png
246,0247.png,airplane,0,9,../data/cifar10/train/airplane/0247.png
247,0248.png,airplane,0,1,../data/cifar10/train/airplane/0248.png
248,0249.png,airplane,0,2,../data/cifar10/train/airplane/0249.png
249,0250.png,airplane,0,2,../data/cifar10/train/airplane/0250.png
250,0251.png,airplane,0,2,../data/cifar10/train/airplane/0251.png
251,0252.png,airplane,0,7,../data/cifar10/train/airplane/0252.png
252,0253.png,airplane,0,5,../data/cifar10/train/airplane/0253.png
253,0254.png,airplane,0,8,../data/cifar10/train/airplane/0254.png
254,0255.png,airplane,0,8,../data/cifar10/train/airplane/0255.png
255,0256.png,airplane,0,2,../data/cifar10/train/airplane/0256.png
256,0257.png,airplane,0,8,../data/cifar10/train/airplane/0257.png
257,0258.png,airplane,0,4,../data/cifar10/train/airplane/0258.png
258,0259.png,airplane,0,7,../data/cifar10/train/airplane/0259.png
259,0260.png,airplane,0,1,../data/cifar10/train/airplane/0260.png
260,0261.png,airplane,0,9,../data/cifar10/train/airplane/0261.png
261,0262.png,airplane,0,7,../data/cifar10/train/airplane/0262.png
262,0263.png,airplane,0,7,../data/cifar10/train/airplane/0263.png
263,0264.png,airplane,0,6,../data/cifar10/train/airplane/0264.png
264,0265.png,airplane,0,0,../data/cifar10/train/airplane/0265.png
265,0266.png,airplane,0,0,../data/cifar10/train/airplane/0266.png
266,0267.png,airplane,0,7,../data/cifar10/train/airplane/0267.png
267,0268.png,airplane,0,0,../data/cifar10/train/airplane/0268.png
268,0269.png,airplane,0,6,../data/cifar10/train/airplane/0269.png
269,0270.png,airplane,0,2,../data/cifar10/train/airplane/0270.png
270,0271.png,airplane,0,5,../data/cifar10/train/airplane/0271.png
271,0272.png,airplane,0,8,../data/cifar10/train/airplane/0272.png
272,0273.png,airplane,0,1,../data/cifar10/train/airplane/0273.png
273,0274.png,airplane,0,0,../data/cifar10/train/airplane/0274.png
274,0275.png,airplane,0,9,../data/cifar10/train/airplane/0275.png
275,0276.png,airplane,0,2,../data/cifar10/train/airplane/0276.png
276,0277.png,airplane,0,6,../data/cifar10/train/airplane/0277.png
277,0278.png,airplane,0,9,../data/cifar10/train/airplane/0278.png
278,0279.png,airplane,0,0,../data/cifar10/train/airplane/0279.png
279,0280.png,airplane,0,5,../data/cifar10/train/airplane/0280.png
280,0281.png,airplane,0,7,../data/cifar10/train/airplane/0281.png
281,0282.png,airplane,0,5,../data/cifar10/train/airplane/0282.png
282,0283.png,airplane,0,1,../data/cifar10/train/airplane/0283.png
283,0284.png,airplane,0,3,../data/cifar10/train/airplane/0284.png
284,0285.png,airplane,0,9,../data/cifar10/train/airplane/0285.png
285,0286.png,airplane,0,3,../data/cifar10/train/airplane/0286.png
286,0287.png,airplane,0,8,../data/cifar10/train/airplane/0287.png
287,0288.png,airplane,0,8,../data/cifar10/train/airplane/0288.png
288,0289.png,airplane,0,2,../data/cifar10/train/airplane/0289.png
289,0290.png,airplane,0,5,../data/cifar10/train/airplane/0290.png
290,0291.png,airplane,0,2,../data/cifar10/train/airplane/0291.png
291,0292.png,airplane,0,6,../data/cifar10/train/airplane/0292.png
292,0293.png,airplane,0,1,../data/cifar10/train/airplane/0293.png
293,0294.png,airplane,0,8,../data/cifar10/train/airplane/0294.png
294,0295.png,airplane,0,3,../data/cifar10/train/airplane/0295.png
295,0296.png,airplane,0,7,../data/cifar10/train/airplane/0296.png
296,0297.png,airplane,0,3,../data/cifar10/train/airplane/0297.png
297,0298.png,airplane,0,4,../data/cifar10/train/airplane/0298.png
298,0299.png,airplane,0,1,../data/cifar10/train/airplane/0299.png
299,0300.png,airplane,0,6,../data/cifar10/train/airplane/0300.png
300,0301.png,airplane,0,2,../data/cifar10/train/airplane/0301.png
301,0302.png,airplane,0,5,../data/cifar10/train/airplane/0302.png
302,0303.png,airplane,0,2,../data/cifar10/train/airplane/0303.png
303,0304.png,airplane,0,4,../data/cifar10/train/airplane/0304.png
304,0305.png,airplane,0,9,../data/cifar10/train/airplane/0305.png
305,0306.png,airplane,0,7,../data/cifar10/train/airplane/0306.png
306,0307.png,airplane,0,9,../data/cifar10/train/airplane/0307.png
307,0308.png,airplane,0,0,../data/cifar10/train/airplane/0308.png
308,0309.png,airplane,0,6,../data/cifar10/train/airplane/0309.png
309,0310.png,airplane,0,3,../data/cifar10/train/airplane/0310.png
310,0311.png,airplane,0,1,../data/cifar10/train/airplane/0311.png
311,0312.png,airplane,0,8,../data/cifar10/train/airplane/0312.png
312,0313.png,airplane,0,3,../data/cifar10/train/airplane/0313.png
313,0314.png,airplane,0,7,../data/cifar10/train/airplane/0314.png
314,0315.png,airplane,0,0,../data/cifar10/train/airplane/0315.png
315,0316.png,airplane,0,5,../data/cifar10/train/airplane/0316.png
316,0317.png,airplane,0,8,../data/cifar10/train/airplane/0317.png
317,0318.png,airplane,0,5,../data/cifar10/train/airplane/0318.png
318,0319.png,airplane,0,6,../data/cifar10/train/airplane/0319.png
319,0320.png,airplane,0,0,../data/cifar10/train/airplane/0320.png
320,0321.png,airplane,0,2,../data/cifar10/train/airplane/0321.png
321,0322.png,airplane,0,2,../data/cifar10/train/airplane/0322.png
322,0323.png,airplane,0,0,../data/cifar10/train/airplane/0323.png
323,0324.png,airplane,0,3,../data/cifar10/train/airplane/0324.png
324,0325.png,airplane,0,7,../data/cifar10/train/airplane/0325.png
325,0326.png,airplane,0,1,../data/cifar10/train/airplane/0326.png
326,0327.png,airplane,0,8,../data/cifar10/train/airplane/0327.png
327,0328.png,airplane,0,1,../data/cifar10/train/airplane/0328.png
328,0329.png,airplane,0,1,../data/cifar10/train/airplane/0329.png
329,0330.png,airplane,0,3,../data/cifar10/train/airplane/0330.png
330,0331.png,airplane,0,1,../data/cifar10/train/airplane/0331.png
331,0332.png,airplane,0,4,../data/cifar10/train/airplane/0332.png
332,0333.png,airplane,0,9,../data/cifar10/train/airplane/0333.png
333,0334.png,airplane,0,8,../data/cifar10/train/airplane/0334.png
334,0335.png,airplane,0,1,../data/cifar10/train/airplane/0335.png
335,0336.png,airplane,0,0,../data/cifar10/train/airplane/0336.png
336,0337.png,airplane,0,0,../data/cifar10/train/airplane/0337.png
337,0338.png,airplane,0,0,../data/cifar10/train/airplane/0338.png
338,0339.png,airplane,0,1,../data/cifar10/train/airplane/0339.png
339,0340.png,airplane,0,8,../data/cifar10/train/airplane/0340.png
340,0341.png,airplane,0,9,../data/cifar10/train/airplane/0341.png
341,0342.png,airplane,0,5,../data/cifar10/train/airplane/0342.png
342,0343.png,airplane,0,2,../data/cifar10/train/airplane/0343.png
343,0344.png,airplane,0,5,../data/cifar10/train/airplane/0344.png
344,0345.png,airplane,0,2,../data/cifar10/train/airplane/0345.png
345,0346.png,airplane,0,3,../data/cifar10/train/airplane/0346.png
346,0347.png,airplane,0,3,../data/cifar10/train/airplane/0347.png
347,0348.png,airplane,0,2,../data/cifar10/train/airplane/0348.png
348,0349.png,airplane,0,2,../data/cifar10/train/airplane/0349.png
349,0350.png,airplane,0,9,../data/cifar10/train/airplane/0350.png
350,0351.png,airplane,0,5,../data/cifar10/train/airplane/0351.png
351,0352.png,airplane,0,9,../data/cifar10/train/airplane/0352.png
352,0353.png,airplane,0,2,../data/cifar10/train/airplane/0353.png
353,0354.png,airplane,0,5,../data/cifar10/train/airplane/0354.png
354,0355.png,airplane,0,8,../data/cifar10/train/airplane/0355.png
355,0356.png,airplane,0,8,../data/cifar10/train/airplane/0356.png
356,0357.png,airplane,0,4,../data/cifar10/train/airplane/0357.png
357,0358.png,airplane,0,2,../data/cifar10/train/airplane/0358.png
358,0359.png,airplane,0,0,../data/cifar10/train/airplane/0359.png
359,0360.png,airplane,0,7,../data/cifar10/train/airplane/0360.png
360,0361.png,airplane,0,0,../data/cifar10/train/airplane/0361.png
361,0362.png,airplane,0,9,../data/cifar10/train/airplane/0362.png
362,0363.png,airplane,0,8,../data/cifar10/train/airplane/0363.png
363,0364.png,airplane,0,7,../data/cifar10/train/airplane/0364.png
364,0365.png,airplane,0,0,../data/cifar10/train/airplane/0365.png
365,0366.png,airplane,0,8,../data/cifar10/train/airplane/0366.png
366,0367.png,airplane,0,3,../data/cifar10/train/airplane/0367.png
367,0368.png,airplane,0,4,../data/cifar10/train/airplane/0368.png
368,0369.png,airplane,0,4,../data/cifar10/train/airplane/0369.png
369,0370.png,airplane,0,3,../data/cifar10/train/airplane/0370.png
370,0371.png,airplane,0,5,../data/cifar10/train/airplane/0371.png
371,0372.png,airplane,0,6,../data/cifar10/train/airplane/0372.png
372,0373.png,airplane,0,3,../data/cifar10/train/airplane/0373.png
373,0374.png,airplane,0,2,../data/cifar10/train/airplane/0374.png
374,0375.png,airplane,0,3,../data/cifar10/train/airplane/0375.png
375,0376.png,airplane,0,3,../data/cifar10/train/airplane/0376.png
376,0377.png,airplane,0,1,../data/cifar10/train/airplane/0377.png
377,0378.png,airplane,0,7,../data/cifar10/train/airplane/0378.png
378,0379.png,airplane,0,1,../data/cifar10/train/airplane/0379.png
379,0380.png,airplane,0,7,../data/cifar10/train/airplane/0380.png
380,0381.png,airplane,0,9,../data/cifar10/train/airplane/0381.png
381,0382.png,airplane,0,5,../data/cifar10/train/airplane/0382.png
382,0383.png,airplane,0,1,../data/cifar10/train/airplane/0383.png
383,0384.png,airplane,0,0,../data/cifar10/train/airplane/0384.png
384,0385.png,airplane,0,4,../data/cifar10/train/airplane/0385.png
385,0386.png,airplane,0,7,../data/cifar10/train/airplane/0386.png
386,0387.png,airplane,0,4,../data/cifar10/train/airplane/0387.png
387,0388.png,airplane,0,7,../data/cifar10/train/airplane/0388.png
388,0389.png,airplane,0,8,../data/cifar10/train/airplane/0389.png
389,0390.png,airplane,0,2,../data/cifar10/train/airplane/0390.png
390,0391.png,airplane,0,4,../data/cifar10/train/airplane/0391.png
391,0392.png,airplane,0,1,../data/cifar10/train/airplane/0392.png
392,0393.png,airplane,0,2,../data/cifar10/train/airplane/0393.png
393,0394.png,airplane,0,8,../data/cifar10/train/airplane/0394.png
394,0395.png,airplane,0,4,../data/cifar10/train/airplane/0395.png
395,0396.png,airplane,0,3,../data/cifar10/train/airplane/0396.png
396,0397.png,airplane,0,1,../data/cifar10/train/airplane/0397.png
397,0398.png,airplane,0,8,../data/cifar10/train/airplane/0398.png
398,0399.png,airplane,0,4,../data/cifar10/train/airplane/0399.png
399,0400.png,airplane,0,7,../data/cifar10/train/airplane/0400.png
400,0401.png,airplane,0,9,../data/cifar10/train/airplane/0401.png
401,0402.png,airplane,0,0,../data/cifar10/train/airplane/0402.png
402,0403.png,airplane,0,8,../data/cifar10/train/airplane/0403.png
403,0404.png,airplane,0,5,../data/cifar10/train/airplane/0404.png
404,0405.png,airplane,0,8,../data/cifar10/train/airplane/0405.png
405,0406.png,airplane,0,9,../data/cifar10/train/airplane/0406.png
406,0407.png,airplane,0,3,../data/cifar10/train/airplane/0407.png
407,0408.png,airplane,0,5,../data/cifar10/train/airplane/0408.png
408,0409.png,airplane,0,5,../data/cifar10/train/airplane/0409.png
409,0410.png,airplane,0,3,../data/cifar10/train/airplane/0410.png
